Gene,Target,Evidence,FileLayer
LOC_Os01g07120,LOC_Os07g05580,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g65820,motif,merged
LOC_Os01g07120,LOC_Os11g17790,motif,merged
LOC_Os01g07120,LOC_Os03g18800,motif,merged
LOC_Os01g07120,LOC_Os05g42040,motif,merged
LOC_Os01g07120,LOC_Os08g18860,motif,merged
LOC_Os01g07120,LOC_Os05g51500,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g38550,motif,merged
LOC_Os01g07120,LOC_Os02g40680,motif,merged
LOC_Os01g07120,LOC_Os06g49290,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g08350,motif,merged
LOC_Os01g07120,LOC_Os06g49120,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g47256,motif,merged
LOC_Os01g07120,LOC_Os06g30570,motif,merged
LOC_Os01g07120,LOC_Os05g26560,motif,merged
LOC_Os01g07120,LOC_Os02g26910,motif,merged
LOC_Os01g07120,LOC_Os07g34990,motif,merged
LOC_Os01g07120,LOC_Os06g44870,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os05g38560,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g25660,motif,merged
LOC_Os01g07120,LOC_Os03g06280,motif,merged
LOC_Os01g07120,LOC_Os02g14610,motif,merged
LOC_Os01g07120,LOC_Os05g44916,motif,merged
LOC_Os01g07120,LOC_Os01g56120,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g23510,motif,merged
LOC_Os01g07120,LOC_Os01g59030,motif,merged
LOC_Os01g07120,LOC_Os02g02840,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g22810,motif,merged
LOC_Os01g07120,LOC_Os11g47350,motif,merged
LOC_Os01g07120,LOC_Os12g35160,motif,merged
LOC_Os01g07120,LOC_Os07g42632,motif,merged
LOC_Os01g07120,LOC_Os01g34330,motif_CE,motif_CE
LOC_Os01g07120,ChrUn.fgenesh.gene.83,motif,merged
LOC_Os01g07120,LOC_Os02g18290,motif,merged
LOC_Os01g07120,LOC_Os05g11570,motif,merged
LOC_Os01g07120,LOC_Os04g18790,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g05810,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g13820,motif,merged
LOC_Os01g07120,LOC_Os03g62420,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g43990,motif,merged
LOC_Os01g07120,LOC_Os01g09460,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g17700,motif,merged
LOC_Os01g07120,LOC_Os08g11650,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g02600,motif,merged
LOC_Os01g07120,LOC_Os08g21180,motif,merged
LOC_Os01g07120,LOC_Os01g27510,motif,merged
LOC_Os01g07120,LOC_Os07g05160,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os01g62690,motif,merged
LOC_Os01g07120,LOC_Os01g05140,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g43710,motif,merged
LOC_Os01g07120,LOC_Os06g31390,motif,merged
LOC_Os01g07120,LOC_Os05g30710,motif,merged
LOC_Os01g07120,LOC_Os10g41770,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g46420,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os04g52040,motif,merged
LOC_Os01g07120,LOC_Os07g45120,motif,merged
LOC_Os01g07120,LOC_Os01g40170,motif,merged
LOC_Os01g07120,LOC_Os03g44240,motif,merged
LOC_Os01g07120,LOC_Os05g28960,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os03g30160,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g14040,motif,merged
LOC_Os01g07120,LOC_Os03g05630,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g22880,motif,merged
LOC_Os01g07120,LOC_Os07g02280,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g11670,motif,merged
LOC_Os01g07120,LOC_Os07g12720,motif,merged
LOC_Os01g07120,LOC_Os01g41740,motif,merged
LOC_Os01g07120,LOC_Os01g03940,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g40580,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os03g21419,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g29900,motif,merged
LOC_Os01g07120,LOC_Os09g10710,motif,merged
LOC_Os01g07120,LOC_Os06g24070,motif,merged
LOC_Os01g07120,LOC_Os11g35340,motif,merged
LOC_Os01g07120,LOC_Os05g05520,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os09g27090,motif,merged
LOC_Os01g07120,LOC_Os11g17560,motif,merged
LOC_Os01g07120,LOC_Os11g47330,motif,merged
LOC_Os01g07120,LOC_Os09g16160,motif,merged
LOC_Os01g07120,LOC_Os12g27580,motif,merged
LOC_Os01g07120,LOC_Os01g65450,motif,merged
LOC_Os01g07120,LOC_Os01g12810,motif,merged
LOC_Os01g07120,LOC_Os03g13190,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g01540,motif,merged
LOC_Os01g07120,LOC_Os07g46740,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os08g42950,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os10g40490,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g06840,motif,merged
LOC_Os01g07120,LOC_Os02g29060,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g37790,motif,merged
LOC_Os01g07120,LOC_Os08g20020,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g34390,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g14190,motif,merged
LOC_Os01g07120,LOC_Os01g13260,motif,merged
LOC_Os01g07120,LOC_Os04g26700,motif,merged
LOC_Os01g07120,LOC_Os05g33260,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g22090,motif,merged
LOC_Os01g07120,LOC_Os03g48320,motif,merged
LOC_Os01g07120,LOC_Os03g37010,motif,merged
LOC_Os01g07120,LOC_Os04g41020,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os10g40540,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os02g15240,motif,merged
LOC_Os01g07120,LOC_Os11g44260,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g15230,motif,merged
LOC_Os01g07120,LOC_Os11g30690,motif,merged
LOC_Os01g07120,LOC_Os03g02590,motif,merged
LOC_Os01g07120,LOC_Os06g08070,motif,merged
LOC_Os01g07120,LOC_Os05g48820,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os12g40830,motif,merged
LOC_Os01g07120,LOC_Os06g20030,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g44010,motif,merged
LOC_Os01g07120,LOC_Os02g42390,motif,merged
LOC_Os01g07120,ChrUn.fgenesh.gene.74,motif,merged
LOC_Os01g07120,LOC_Os04g52650,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os03g50100,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g22050,motif,merged
LOC_Os01g07120,LOC_Os05g43460,motif,merged
LOC_Os01g07120,LOC_Os05g03840,motif,merged
LOC_Os01g07120,LOC_Os01g34600,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g27470,motif,merged
LOC_Os01g07120,LOC_Os01g66379,motif,merged
LOC_Os01g07120,LOC_Os11g29260,motif,merged
LOC_Os01g07120,LOC_Os05g45270,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g06230,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os08g41110,motif,merged
LOC_Os01g07120,LOC_Os01g60190,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g24500,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os06g01520,motif,merged
LOC_Os01g07120,LOC_Os10g08500,motif,merged
LOC_Os01g07120,LOC_Os08g01810,motif,merged
LOC_Os01g07120,LOC_Os11g10330,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g10440,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os06g33020,motif,merged
LOC_Os01g07120,LOC_Os06g06650,motif,merged
LOC_Os01g07120,LOC_Os12g10840,motif,merged
LOC_Os01g07120,LOC_Os06g13220,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os06g40500,motif,merged
LOC_Os01g07120,LOC_Os08g15670,motif,merged
LOC_Os01g07120,LOC_Os08g44540,motif,merged
LOC_Os01g07120,LOC_Os10g28280,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os09g26470,motif,merged
LOC_Os01g07120,LOC_Os01g70010,motif,merged
LOC_Os01g07120,LOC_Os01g34910,motif,merged
LOC_Os01g07120,LOC_Os06g34400,motif,merged
LOC_Os01g07120,LOC_Os06g39080,motif,merged
LOC_Os01g07120,LOC_Os03g40870,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os09g04390,motif,merged
LOC_Os01g07120,LOC_Os02g14170,motif,merged
LOC_Os01g07120,LOC_Os03g63400,motif,merged
LOC_Os01g07120,LOC_Os06g07480,motif,merged
LOC_Os01g07120,LOC_Os07g24630,motif,merged
LOC_Os01g07120,LOC_Os02g47040,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os03g49210,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os11g26080,motif,merged
LOC_Os01g07120,LOC_Os01g26280,motif,merged
LOC_Os01g07120,LOC_Os01g72210,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g36090,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os10g30620,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g06860,motif,merged
LOC_Os01g07120,LOC_Os07g40760,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os02g36570,motif,merged
LOC_Os01g07120,LOC_Os11g14320,motif,merged
LOC_Os01g07120,LOC_Os01g73110,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os01g08690,motif,merged
LOC_Os01g07120,LOC_Os03g46610,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os12g27280,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os10g03220,motif,merged
LOC_Os01g07120,LOC_Os05g27670,motif,merged
LOC_Os01g07120,LOC_Os07g30650,motif,merged
LOC_Os01g07120,LOC_Os02g30080,motif,merged
LOC_Os01g07120,LOC_Os03g14020,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os09g23894,motif,merged
LOC_Os01g07120,LOC_Os11g11590,motif,merged
LOC_Os01g07120,LOC_Os12g37870,motif,merged
LOC_Os01g07120,LOC_Os02g55610,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os08g42000,motif,merged
LOC_Os01g07120,LOC_Os02g30070,motif,merged
LOC_Os01g07120,LOC_Os03g33380,motif,merged
LOC_Os01g07120,LOC_Os03g62490,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os08g42390,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g54860,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g40510,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os10g42404,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g58940,motif,merged
LOC_Os01g07120,LOC_Os04g55680,motif,merged
LOC_Os01g07120,LOC_Os09g15270,motif,merged
LOC_Os01g07120,LOC_Os12g41500,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g07740,motif,merged
LOC_Os01g07120,LOC_Os03g31570,motif,merged
LOC_Os01g07120,LOC_Os01g24360,motif,merged
LOC_Os01g07120,LOC_Os01g67210,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os02g14670,motif,merged
LOC_Os01g07120,LOC_Os01g06430,motif,merged
LOC_Os01g07120,LOC_Os01g52214,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os03g32930,motif,merged
LOC_Os01g07120,LOC_Os03g55980,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os02g01765,motif,merged
LOC_Os01g07120,LOC_Os07g36720,motif,merged
LOC_Os01g07120,LOC_Os07g31400,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os05g02100,motif,merged
LOC_Os01g07120,LOC_Os07g19390,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os04g44660,motif,merged
LOC_Os01g07120,LOC_Os01g07080,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os07g40580,"motif, motif_CE",merged
LOC_Os01g07120,ChrSy.fgenesh.gene.33,motif,merged
LOC_Os01g07120,LOC_Os06g07350,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g16040,motif,merged
LOC_Os01g07120,LOC_Os07g46300,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g04000,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os11g04740,motif,merged
LOC_Os01g07120,LOC_Os06g17260,motif,merged
LOC_Os01g07120,LOC_Os12g42170,motif,merged
LOC_Os01g07120,LOC_Os03g15810,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g53270,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os02g28030,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os02g57150,motif,merged
LOC_Os01g07120,LOC_Os09g33790,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os04g38630,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os06g08564,motif,merged
LOC_Os01g07120,LOC_Os07g16440,motif,merged
LOC_Os01g07120,LOC_Os03g22110,motif,merged
LOC_Os01g07120,LOC_Os08g20020,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g22540,motif,merged
LOC_Os01g07120,LOC_Os06g31660,motif,merged
LOC_Os01g07120,LOC_Os05g48320,motif,merged
LOC_Os01g07120,LOC_Os01g42820,motif,merged
LOC_Os01g07120,LOC_Os01g49060,motif,merged
LOC_Os01g07120,LOC_Os04g41200,motif,merged
LOC_Os01g07120,LOC_Os06g12000,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os03g29470,motif,merged
LOC_Os01g07120,LOC_Os02g42850,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os05g02550,motif,merged
LOC_Os01g07120,LOC_Os03g47610,motif,merged
LOC_Os01g07120,LOC_Os10g28840,motif,merged
LOC_Os01g07120,LOC_Os05g05740,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os08g37700,motif,merged
LOC_Os01g07120,LOC_Os01g51620,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os11g28150,motif,merged
LOC_Os01g07120,LOC_Os07g39590,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g03200,motif,merged
LOC_Os01g07120,LOC_Os12g43770,motif,merged
LOC_Os01g07120,LOC_Os03g54220,motif,merged
LOC_Os01g07120,LOC_Os05g07000,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g44250,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g55830,motif,merged
LOC_Os01g07120,LOC_Os06g40590,motif,merged
LOC_Os01g07120,LOC_Os03g21930,motif,merged
LOC_Os01g07120,LOC_Os08g30170,motif,merged
LOC_Os01g07120,LOC_Os02g35530,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os08g06230,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os05g37860,motif,merged
LOC_Os01g07120,LOC_Os08g44420,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g32630,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os08g04600,motif,merged
LOC_Os01g07120,LOC_Os09g38759,motif,merged
LOC_Os01g07120,LOC_Os09g12560,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os06g24500,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os10g32850,motif,merged
LOC_Os01g07120,LOC_Os02g04490,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os01g37800,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os02g22110,motif,merged
LOC_Os01g07120,LOC_Os05g36140,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g10180,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os01g04324,motif,merged
LOC_Os01g07120,LOC_Os10g09680,motif,merged
LOC_Os01g07120,LOC_Os09g15930,motif,merged
LOC_Os01g07120,LOC_Os11g45150,motif,merged
LOC_Os01g07120,LOC_Os06g51180,motif,merged
LOC_Os01g07120,LOC_Os02g48730,motif,merged
LOC_Os01g07120,LOC_Os03g37460,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os08g02560,motif,merged
LOC_Os01g07120,LOC_Os09g38720,motif,merged
LOC_Os01g07120,LOC_Os02g25780,motif,merged
LOC_Os01g07120,LOC_Os11g29330,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os06g13950,motif,merged
LOC_Os01g07120,LOC_Os03g49210,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g19250,motif,merged
LOC_Os01g07120,LOC_Os04g25950,motif,merged
LOC_Os01g07120,LOC_Os10g18720,motif,merged
LOC_Os01g07120,LOC_Os12g27560,motif,merged
LOC_Os01g07120,LOC_Os01g07110,motif,merged
LOC_Os01g07120,LOC_Os05g38730,motif,merged
LOC_Os01g07120,LOC_Os06g19660,motif,merged
LOC_Os01g07120,LOC_Os05g32560,motif,merged
LOC_Os01g07120,LOC_Os01g29804,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g36070,motif,merged
LOC_Os01g07120,LOC_Os12g42120,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os01g64590,"FunTFBS, motif, motif_CE",merged
LOC_Os01g07120,LOC_Os08g22028,motif,merged
LOC_Os01g07120,LOC_Os08g32560,motif,merged
LOC_Os01g07120,LOC_Os10g13760,motif,merged
LOC_Os01g07120,LOC_Os02g56890,motif,merged
LOC_Os01g07120,LOC_Os12g26875,motif,merged
LOC_Os01g07120,LOC_Os08g31340,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os12g07270,motif,merged
LOC_Os01g07120,LOC_Os09g28680,motif,merged
LOC_Os01g07120,LOC_Os10g22394,motif,merged
LOC_Os01g07120,LOC_Os10g36070,motif,merged
LOC_Os01g07120,LOC_Os01g72690,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os01g12464,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os04g47950,"FunTFBS, motif",merged
LOC_Os01g07120,LOC_Os05g27140,motif,merged
LOC_Os01g07120,LOC_Os09g18560,motif,merged
LOC_Os01g07120,LOC_Os05g18280,motif,merged
LOC_Os01g07120,LOC_Os11g41860,motif,merged
LOC_Os01g07120,LOC_Os12g33250,motif,merged
LOC_Os01g07120,LOC_Os08g11170,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os01g52214,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os03g55980,"motif, motif_CE",merged
LOC_Os01g07120,LOC_Os11g43330,motif,merged
LOC_Os01g07120,LOC_Os04g24989,motif,merged
LOC_Os01g07120,LOC_Os07g20790,motif,merged
LOC_Os01g07120,LOC_Os02g45630,motif,merged
LOC_Os01g07120,LOC_Os10g40790,motif,merged
LOC_Os01g07120,LOC_Os06g35790,motif,merged
LOC_Os01g07120,LOC_Os07g04720,motif,merged
LOC_Os01g07120,LOC_Os10g18910,motif,merged
LOC_Os01g07120,LOC_Os01g68320,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os03g52970,motif,merged
LOC_Os01g07120,LOC_Os06g30894,motif,merged
LOC_Os01g07120,LOC_Os09g20880,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os03g13325,motif,merged
LOC_Os01g07120,LOC_Os12g23150,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os10g32580,motif,merged
LOC_Os01g07120,LOC_Os06g45220,FunTFBS,FunTFBS
LOC_Os01g07120,LOC_Os09g37150,motif,merged
LOC_Os01g07120,LOC_Os09g31120,motif,merged
LOC_Os01g07120,LOC_Os05g03865,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os07g01070,motif,merged
LOC_Os01g07120,LOC_Os01g45350,motif_CE,motif_CE
LOC_Os01g07120,LOC_Os10g25770,motif,merged
